1234,"I'm sad","I'm here for you. Would you like to talk about it?"
session_id,user_input,bot_response
6bdecf30-558f-4433-8c95-fdcc564658db,head,I'm not sure what I expected.
d621a071-835f-4388-bb3d-747dbfeeba3d,dizziness,I don't know what you're talking about.
102644a6-1d0a-4e37-9c93-4a37465261be,i am feeling dizziness,I'm not sure if I'm dizzy or if I'm just feeling dizzy.
0b42a64c-1b2e-450f-88b9-714852d9cc15,hi,Hi
f94866ad-9b06-4510-9a9e-3013055cfc4f,i have head ache,I'm so tired
15390e93-1791-41f6-9c5a-59c96631b558,i have more stress,I have more stress than this game.
e080f5ec-27aa-4d16-ae98-c927f0c21e84,I am so happy,I'm so happy
f46d5e1d-9c89-4dba-af40-c9e449114639,I am feeling hungry,I'm hungry.
70d04de9-3662-43dc-a8c5-dad8eea61561,I got fever,And then he got really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really
7bb27eed-c518-4da8-9528-df5a57354418,what really,I'm so glad I'm not the only one who thinks this.
